source,text,ref,new
"שו""ת מהר""ח אור זרוע סימן ריד:",['קסמין שבחצר שאינו מקבצם אלא כדי להדליקם לאלתר אינו מקבצם אלא שטורח לו להדליק כל קיסם או לזרוק כל קיסם לבדו למדורה ולא בשביל תיקון הקסמין ושמירתם מקבצם אין זה מעמר.'],Maharach Or Zarua Responsa 214,
"תוספות רי""ד שבת עג ע""ב ד""ה 'והמעמר':","['והמעמר – פירוש המקבץ השבלים מאחרי הקוצר ועושה אותן עומר. ושיעור המעמר הוא כגרוגרות, דומיא דקצר וטחן, שכל מלאכת האוכלין כגרוגרת. ואי קשיא אם כן נתפזרו לו פירות בחצרו או בשדה וליקטן יתחייב משום מעמר, תשובה אין מעמר אלא בשעת תלישתו מן הקרקע שזה הוא תחלת ליקוטו, אבל פירות שנלקטו כבר ועכשיו נתפזרו אין זה מעמר.']",,
"שבת עג ע""ב:",['והדש. תנא: הדש והמנפץ והמנפט - כולן מלאכה אחת הן.'],Shabbat 73b,
"אגלי טל, דש, ב, א:",['ראוי לבאר במלאכת דש אם הוא דוקא שמפרקה מלבוש... או דילמא אפילו כשאינו מלובש תוך הפסולת כל שמפרקה מפסולת המחובר בה דש הוא.'],,
"קהילות יעקב כתובות ג, ב:","['וע""פ דברי הרמב""ן ז""ל הנ""ל יתבאר דגם במלאכת דש הוי מלאכה הצריכה לגופה בין שצריך לטובת דבר הנידש ובין שצריך המלאכה לטובת תיקון בהגוף שנידש משם כיון דיסוד מלאכה זו דדש הוא הפרדת דבר מדבר ולכל חלק ממנו צריך הוא למלאכת הפרדתו... הוספה: במה שכתבתי... ונראה בזה דמלאכת דישה אינו הפרדת דבר מדבר... אלא הוצאת דבר ממקום גניזתו אל הגלוי... ולכן בעינן שתהא הצריכה לגופה דוקא בדבר הנסחט וכשהמשקה הולך לאיבוד אינו מלאכה להרמב""ן.']",,
"שבת עג ע""ב – עד ע""א:","['הזורה הבורר והטוחן והמרקד. היינו זורה היינו בורר היינו מרקד! אביי ורבא דאמרי תרוייהו: כל מילתא דהויא במשכן, אף על גב דאיכא דדמיא לה - חשיב לה.']",Shabbat 73b-74a,
רבנו חננאל שם:,"[""נמצא זורה והבורר והמרקד כולן מעבירין פסולת המעורבות באוכל ואינה מחוברת (ואינה) כגון קליפה שצריכה פירוק או כגון עפרורית שצריך ניפוץ אלא מעורבת בלבד. וכן אם נטל בידו אדם תבואה בתיבנא ובפסולת שיש בה וניפח בה ברוח פיו ובירר חשוב הוא כזורה. פי' בורר נוטל פסולת מבין האוכל ומשליכה או נוטל האוכל ומניח הפסולת. מרקד שמטיל את האוכל והפסולת בכברה ונשארת האוכל ואם האוכל דק והפסולת עבה כמין תבן יוצא האוכל ונשארת הפסולת בכברה. וכיון דאסיק' כי הזורה והבורר והמרקד כולן מעין מלאכה אחת הן מפריש הפסולת מן האוכל ומשום דהוו במשכן הוו להו תלתא וחייב על כל אחת ואחת.""]",,
"הערוך, ערך 'זר':",['שכולם העברת פסולת שהיא מעורבת באוכל... אלא כל אחת מהן יש לה דרך כל דבר שהוא משלימו להפרחת ברוח הוא חייב עליו משום זורה... והבורר הוא שנוטל הפסולת מבין האוכל ומשליכו... והמרקד שהוא מניח האוכל והפסולת בכלי.'],,
"רש""י שבת עה ע""ב 'הרי הוא אורג':","['הרי הוא אורג – דהיינו אורג ממש, ולא דמי לזורה ובורר ומרקד, דזה בקשין וזה בצרורות וזה בקמח.']",,Rashi on Shabbat 75b:6:5
"שבת עד ע""א:","['תנו רבנן: היו לפניו מיני אוכלין - בורר ואוכל, בורר ומניח. ולא יברור, ואם בירר - חייב חטאת. מאי קאמר? אמר עולא: הכי קאמר: בורר ואוכל - לבו ביום, ובורר ומניח - לבו ביום; ולמחר לא יברור, ואם בירר - חייב חטאת. מתקיף לה רב חסדא: וכי מותר לאפות לבו ביום? וכי מותר לבשל לבו ביום? אלא אמר רב חסדא: בורר ואוכל - פחות מכשיעור, בורר ומניח - פחות מכשיעור. וכשיעור - לא יברור, ואם בירר - חייב חטאת. מתקיף לה רב יוסף: וכי מותר לאפות פחות מכשיעור? אלא אמר רב יוסף: בורר ואוכל - ביד בורר ומניח - ביד. בקנון ובתמחוי - לא יברור, ואם בירר - פטור אבל אסור, ובנפה ובכברה - לא יברור, ואם בירר - חייב חטאת. מתקיף לה רב המנונא: מידי קנון ותמחוי קתני! אלא אמר רב המנונא: בורר ואוכל - אוכל מתוך הפסולת, בורר ומניח - אוכל מתוך הפסולת, פסולת מתוך אוכל - לא יברור, ואם בירר - חייב חטאת. מתקיף לה אביי: מידי אוכל מתוך פסולת קתני! - אלא אמר אביי: בורר ואוכל - לאלתר, ובורר ומניח - לאלתר, ולבו ביום - לא יברור, ואם בירר - נעשה כבורר לאוצר, וחייב חטאת.']",Shabbat 74a,
"רש""י שם ד""ה 'ובורר ומניח':","['ובורר ומניח לאלתר – לאכול לאלתר, שאין זה דרך בוררין.']",,Rashi on Shabbat 74a:4:3
"רבנו חננאל שם ע""ב:","['איתמר המולל מלילות של חיטין (למחר) מנפח על יד על יד ואוכל ואם נפח ונתן לתוך ידו חייב. א""ר אלעזר וכן לשבת. מ""ט, דמלאכת מחשבת אסרה תורה והאי לאו מלאכת מחשבת היא, דלא קא מכוון במלאכה אלא לאכילה בלבד.']",,
"שבת עד ע""ב:",['והטוחן. אמר רב פפא: האי מאן דפרים סילקא - חייב משום טוחן. אמר רב מנשה: האי מאן דסלית סילתי - חייב משום טוחן. אמר רב אשי: אי קפיד אמשחתא - חייב משום מחתך.'],Shabbat 74b,
"רמב""ם הלכות שבת <b>ז</b>, ה:","['התולדה היא המלאכה הדומה לאב מאלו האבות. כיצד. המחתך את הירק מעט לבשלו הרי זה חייב, שזו המלאכה תולדת טחינה, שהטוחן לוקח גוף אחד ומחלקו לגופים הרבה. וכל העושה דבר הדומה לזה הרי זה תולדת טוחן. וכן הלוקח לשון של מתכת ושף אותו כדי ליקח מעפרו, כדרך שעושים צורפי הזהב, הרי זה תולדת טחינה.']","Mishneh Torah, Sabbath 7:5",
<b>מגיד משנה שם הלכה ד</b>:,"['וכן הקוצר תבואה או קטנית וכו\'. תנא הקוצר והבוצר והגודר והמוסק והאורה כלן מלאכה אחת הן. ודע שכוונת רבינו היא שכל מלאכה שהיא דומה לאב בדמיון גמור אלא שחלוקה ממנה באיכות הפעולה או באיכות הנפעל הרי זו אב כמותה אבל מלאכה הדומה לה במקצת זו היא הנקראת תולדה. והמשל בזה הקוצר והבוצר שהם בדמיון גמור אלא שחלוקין הנפעלים וכן הזורע והנוטע וכן החורש והחופר שהם חלוקי איכות הפעולה אבל הם בדמיון גמור. עליהם אמרו כולם מלאכה אחת הם. שאם באנו לחלק בהן נחלק במיני הזרעים גם כן ובמיני הכלים אשר יעשה בהם וכיוצא בזה. אבל בשאין שם אלא קצת דמיון כגון המחתך את הירק שאינו דומה לטחינה רק בהעשות מגוף אחד גופים רבים אע""פ שהטחינה משנה הגוף הראשון לגמרי ואין החתוך כן זו הוא תולדה והיקש זה ניתן לכלן. זהו דעת רבינו. ויש מי שפירש כלן מלאכה אחת הן שהן תולדות לאב אחד ואע""פ שאין לנו בזה אלא שינוי השמות הפירוש הראשון נראה עיקר וזהו חידוש הברייתות.']",,
"מי טל, הטוחן, א:","['הנה במלאכת טוחן יש לחקור ביסוד החיוב דהאי מלאכה אם חיובה משום עשיית בני פירורים שנתהוו ע""י הטחינה.']",,
"חזון איש מועד נח, ט:",['ונראה דכשם שבישולו מפקיעתו ממלאכת טחינה כיון שטחינתו נוחה ואין שם מלאכה עלה.'],,
"כלכלת שבת, טוחן:","['אסור לרסק (קארטאפפעל) מבושלין או שאר מאכל משום טוחן, רק בהיו מרוסקים קצת מותר לגמור רסוקן.']",,
"שבת יז ע""ב – יח ע""א:","[""מתני'. בית שמאי אומרים: אין שורין דיו וסמנים וכרשינין אלא כדי שישורו מבעוד יום, ובית הלל מתירין. בית שמאי אומרים: אין נותנין אונין של פשתן לתוך התנור אלא כדי שיהבילו מבעוד יום, ולא את הצמר ליורה אלא כדי שיקלוט העין, ובית הלל מתירין. בית שמאי אומרים: אין פורסין מצודות חיה ועופות ודגים אלא כדי שיצודו מבעוד יום, ובית הלל מתירין. בית שמאי אומרים: אין מוכרין לנכרי, ואין טוענין עמו, ואין מגביהין עליו אלא כדי שיגיע למקום קרוב, ובית הלל מתירין. בית שמאי אומרים: אין נותנין עורות לעבדן, ולא כלים לכובס נכרי אלא כדי שיעשו מבעוד יום, ובכולן בית הלל מתירין עם השמש. אמר רבן שמעון בן גמליאל: נוהגין היו בית אבא שהיו נותנין כלי לבן לכובס נכרי שלשה ימים קודם לשבת. ושוין אלו ואלו שטוענין קורת בית הבד ועגולי הגת."", ""גמ'. מאן תנא נתינת מים לדיו זו היא שרייתן? אמר רב יוסף: רבי היא, דתניא: אחד נותן את הקמח ואחד נותן את המים - האחרון חייב, דברי רבי. רבי יוסי אומר: אינו חייב עד שיגבל. אמר ליה אביי: ודילמא עד כאן לא קאמר רבי יוסי - אלא בקמח דבר גיבול הוא, אבל דיו דלאו בר גיבול הוא - אימא ליחייב! לא סלקא דעתך, דתניא: אחד נותן את האפר ואחד נותן את המים - האחרון חייב, דברי רבי. רבי יוסי ברבי יהודה אומר: עד שיגבל. ודילמא: מאי אפר - עפר, דבר גיבול הוא. והתניא: אפר, והתניא: עפר! מידי גבי הדדי תניא?""]",Shabbat 17b-18a,
"מי טל, לש, א:","['ביסוד מלאכת לישה מצינו פלוגתא דתנאי... והיינו דאפליגו אם יסוד מלאכת לישה הוי ע""י נתינת המים לתוך הקמח לבד וגם בלא גיבל ולש אותם יחד עד שנעשית עיסה... מדברי הצפנת פענח דיסוד מלאכת לישה היא מה שע""י הלישה נעשה כאן מציאות חדש דהיינו העיסה... האומנם דנראה דכל זה שייך לומר רק לשיטת ר\' יוסי ב""ר יהודא דמלאכת לישה לא הוי אלא עד שיגבל ויעשה העיסה משא""כ לשיטת רבי דמיד שנתן המים בקמח חייב... ובע""כ דלשיטת רבי אם היסוד דמלאכת לישה ההתחדשות דהעיסה... אלא עצם הענין שנתן... תיכף מתערבים המים בהקמח וזה גורם שפירורי הקמח שהיו כל אחת מציאות בפ""ע נתחברו ונתדבקו יחד ע""י ליחות המים.']",,
"שבת קמ ע""א:","['אמר מר זוטרא: לית הלכתא ככל הני שמעתתא, אלא כי הא דאתמר: חרדל שלשו מערב שבת, למחר ממחו בין ביד בין בכלי, ונותן לתוכו דבש. ולא יטרוף אלא מערב. שחליים ששחקן מערב שבת, למחר - נותן לתוכן שמן וחומץ, וממשיך לתוכן אמיתא, ולא יטרוף אלא מערב.']",Shabbat 140a,
"שו""ת תרומת הדשן סימן נג:","['והטעם משום דקיי""ל כרבי גבי רבי יוסי ברבי יודא דסבר נתינת מים או שאר משקין זהו גיבולן ולכן כי יהיב משקה מבעוד יום כבר מוגבל הוא בחול ומאי דערביתו בשבת אין קפידא רק שלא יטרוף אבל אי יהיב משקה בשבת אנתינת משקה הוא דמחייב ולא מהני מידי אי ממחו אח""כ דרך שינוי.']",,
"[שלטי הגבורים מסכת שבת נח ע""א מדפי הרי""ף:","['עושין יינומלין בשבת והוא דבש יין ופלפלין, ומז""ה מתיר אפילו לסננן במסננת, ולי נראה שלא הותר אלא לערבן לאוכלן כמות שהן. ושמא כך היה מנהגם, אבל לטרוף אותן יפה ולסננן כמו שעושין היום [לא], שזה טורח יתר הוא ואומנות גדולה ותקון גדול הוא והרי נאסר לטרוף אפילו בחרדל הנילוש כבר, כמבואר בקונטרס הראיות.]']",,
"שבת עד ע""ב:","['והלש והאופה. אמר רב פפא: שבק תנא דידן בישול סממנין דהוה במשכן, ונקט אופה! תנא דידן - סידורא דפת נקט. אמר רב אחא בר רב עוירא: האי מאן דשדא סיכתא לאתונא - חייב משום מבשל. פשיטא! מהו דתימא - לשרורי מנא קא מיכוין, קא משמע לן: דמירפא רפי, והדר קמיט. אמר רבה בר רב הונא: האי מאן דארתח כופרא - חייב משום מבשל. פשיטא! מהו דתימא: כיון דהדר ואיקושא - אימא לא, קא משמע לן.']",Shabbat 74b,
"אגלי טל, אופה, א, ו–ז:","['אך בירורן של דברים... והיינו דאף שהמעשה מחולק קצת מ""מ הכוונה אחת והתינח בשבת דמלאכת שבת אסרה תורה אזלינן בתר כוונה משא""כ בשביעית... עיי""ש. ולפי""ז ה""נ צולה ומטגן מאחר דלהכשירו לאכילה מתכוין כמו מבשל ע""כ הוויין אב מלאכה... ולפי""ז היינו טעמא דאופה... שכוונתו ג""כ להכשירו לאכילה... אלא דמ""מ יותר הו""ל להתנא לחשוב מבשל דהוה ממש במשכן.']",,
"ר""ן על הרי""ף שבת כב ע""א ד""ה 'והרב ר' יונה':","['והרב ר\' יונה ז""ל כתב בלשון הזה ומכשלה גדולה תחת יד קצת העם שטומנין קומקום של מים חמין ליתן לתוך הקדרה בשבת כשהתבשיל מצטמק ופעמים שהאחד אין יד סולדת בו והאחר יד סולדת בו ומתבשל זה בזה ונמצאו מבשלין בשבת ואפילו אם שניהם יד סולדת בהם איכא מאן דאמר בירושלמי עירוי אינה ככלי ראשון וכשמערין המים לאלתר שיצאו מן הכלי אף על פי שהן רותחין פסק כח רתיחתן מלבשל כדין כלי שני שאינו מבשל ומתבשלין בתוך כלי ראשון ומים מבושלין אם פסקה רתיחתן יש בהן משום בישול אלו דבריו ז""ל ולא ידעתי מנין לו שהרי כל שבא בחמין מלפני השבת שורין אותו בחמין בשבת אף על פי שהוא צונן גמור ולא ידעתי הפרש בין מים מבושלין למבושל אחר וצריך עיון ובדיקה.']",,
"אבן האזל שבת כב, ד:","['ונראה ליישב שיטת רבינו יונה דחלוק באמת דין תבשיל מדין חמין דבחמין האיסור הוא משום חימום המים ולכן שיעורו ביד סולדת דעניין הבישול בחמין הוא חימום המים ולכן אף שכבר נתחממו אם חזרו ונצטננו שייך בהו שוב חימום ואפי\' אי סברינן דאין בישול אחר בישול היינו דוקא בתבשיל דגדר איסור בישולו היינו התקנת האוכל לאכילה ע""י בישול ולכן אם נתבשל כל צרכו תו אין בו משום בישול דהא כבר נתקן.']","Even Ha'azel on Mishneh Torah, Sabbath 22:4",
"שו""ת הרדב""ז א סימן ריג:","['ולענין דבר הנאכל כמו שהוא חי אם יש בו משום מבשל בשבת, לענין מלקות אינו לוקה אבל אסור מדרבנן.']",,
"אגלי טל, אופה, מד, א–ד:","['העתקתי פירש""י טעמא דבחמה עצמו מותר דאין דרך בישול בכך... וכמו שנחשב שינוי בין תולדת האש לתולדת החמה כמו כן נחשב שינוי בין יש בהפת כח חמה בין יש בה כח האש.']",,
"שבת לו ע""ב:","[""מתני'. כירה שהסיקוה בקש ובגבבא - נותנים עליה תבשיל. בגפת ובעצים - לא יתן עד שיגרוף, או עד שיתן את האפר. בית שמאי אומרים, חמין אבל לא תבשיל ובית הלל אומרים, חמין ותבשיל. בית שמאי אומרים, נוטלין אבל לא מחזירין ובית הלל אומרים, אף מחזירין."", ""גמ'. איבעיא להו: האי לא יתן - לא יחזיר הוא, אבל לשהות - משהין אף על פי שאינו גרוף ואינו קטום, ומני - חנניה היא. דתניא, חנניה אומר: כל שהוא כמאכל בן דרוסאי - מותר לשהותו על גבי כירה, אף על פי שאינו גרוף ואינו קטום; או דילמא: לשהות תנן, ואי גרוף וקטום - אין, אי לא - לא, וכל שכן להחזיר.""]",Shabbat 36b,
"רש""י שם ד""ה 'אבל לא תבשיל':","['אבל לא תבשיל – דניחא ליה בישוליה, ואתי לאחתויי, אי נמי, נתקיימה מחשבתו ומיחזי כמבשל.']",,Rashi on Shabbat 36b:3:8
"שבת מז ע""ב, המשנה השנייה (פ""ד מ""א):","['במה טומנין ובמה אין טומנין? אין טומנין לא בגפת, ולא בזבל, לא במלח, ולא בסיד, ולא בחול, בין לחין בין יבשין. ולא בתבן ולא בזגין ולא במוכין ולא בעשבין בזמן שהן לחין, אבל טומנין בהן כשהן יבשין.']",Shabbat 47b,
"שם לד ע""א–ע""ב:","['אמר רבא: מפני מה אמרו: אין טומנין בדבר שאינו מוסיף הבל משחשכה - גזרה שמא ירתיח. אמר ליה אביי: אי הכי, בין השמשות נמי ניגזר! אמר ליה: סתם קדירות רותחות הן. ואמר רבא: מפני מה אמרו אין טומנין בדבר המוסיף הבל ואפילו מבעוד יום - גזירה שמא יטמין ברמץ שיש בה גחלת. אמר ליה אביי: ויטמין! גזירה שמא יחתה בגחלים.']",Shabbat 34a-72a,
"ירושלמי שבת פ""ד ה""א:",['בלפי שהדברים הללו רותחין ומרתיחין והוא נוטלן והן תשים לתוך ידו ומחזירן והן מוסיפין רתיחה לפיכך אסרו לטמון בהן.'],Jerusalem Talmud Shabbat 4:1,
"שבת עד ע""ב:","['הגוזז את הצמר והמלבנו. אמר רבה בר בר חנה אמר רבי יוחנן: הטווה צמר שעל גבי בהמה בשבת - חייב שלש חטאות; אחת משום גוזז, ואחת משום מנפץ, ואחת משום טווה. רב כהנא אמר: אין דרך גזיזה בכך, ואין דרך מנפץ בכך, ואין דרך טווי בכך. ולא? והתניא משמיה דרבי נחמיה: שטוף בעזים וטוו בעזים! אלמא: טוויה על גבי בהמה שמה טוויה! חכמה יתירה שאני. תנו רבנן: התולש את הכנף, והקוטמו, והמורטו - חייב שלש חטאות. אמר רבי שמעון בן לקיש: תולש חייב משום גוזז, קוטם חייב משום מחתך, ממרט חייב משום ממחק.']",Shabbat 74b,
"תוספות בכורות כה ע""א ד""ה 'ואמר ר""ל':","['ואמר ר""ל חייב משום גוזז - תימה מה הוא מקשה אף על גב דלענין בכור לא מחייב ביה משום לא תגוז לענין שבת יש לחייב משום תולדה דגוזז ככל עוקר דבר מגידולו בבעלי חיים.']",Tosafot on Bekhorot 25a:6:1,
"ירושלמי שבת פ""ז ה""ב:","['דתני תלש מן המיתה חייב, תלישתה זו היא גיזתה.']",Jerusalem Talmud Shabbat 7:2,
"אגלי טל, גוזז, ב, א, ט:","['וכתבו התוס\'... משום עוקר דבר מגידולו וקשה לי בדבריהם שהרי בירושלמי ובתוספתא הובא לעיל ס""ק א דתולש מן המתה ואפי\' מן השלח חייב... ולפי מה שביארנו דעת הירושלמי ותוספתא והרמב""ם דהא דמחייבין בגוזז מן המתה או מן העור משום דס""ל דמלאכת גוזז היא מה שמפריד הגיזה מן העור.']",,
"שבת צד ע""ב:","[""מתני'. הנוטל צפרניו זו בזו, או בשיניו, וכן שערו, וכן שפמו, וכן זקנו, וכן הגודלת, וכן הכוחלת, וכן הפוקסת - רבי אליעזר מחייב, וחכמים אוסרין משום שבות."", ""גמ'. אמר רבי אלעזר: מחלוקת ביד, אבל בכלי חייב. - פשיטא, זו בזו תנן! - מהו דתימא: רבנן בכלי נמי פטרי, והא דקתני זו בזו - להודיעך כחו דרבי אליעזר, קא משמע לן.""]",Shabbat 94b,
"תוספות שם ד""ה 'אבל בכלי':","['אבל בכלי ד""ה חייב - היינו כרבי יהודה דמחייב במלאכה שאינה צריכה לגופה.']",,Tosafot on Shabbat 94b:6:1
"חידושי הרמב""ן שבת קו ע""א ד""ה 'כל המקלקלין':","['ומה דומה לזה הנוטל צפרניו בכלי וכן שפמו (צ""ד ב\') שהוא חייב משום תולדה דגוזז ואף על פי שאינו צריך לגוף הצפרנים והשיער מלאכה הצריכה לגופה נקראת.']",Chiddushei Ramban on Shabbat 106a:1,
"רמב""ם הלכות שבת ט, יא:","['המכבס בגדים הרי הוא תולדת מלבן וחייב, והסוחט את הבגד עד שיוציא המים שבו הרי זה מכבס וחייב, שהסחיטה מצרכי כיבוס היא כמו שההגסה מצרכי הבשול, ואין סחיטה בשער וה""ה לעור שאין חייבין על סחיטתו.']","Mishneh Torah, Sabbath 9:11",
"מגיד משנה שם ד""ה 'הסוחט':","['אבל הרמב""ן ז""ל כתב סוף פרק שמונה שרצים כך: ראוי לומר בכל סוחט פירות תולדת מפרק בצריך למשקים ושיעורן כגרוגרת ואין דישה אלא בגידולי קרקע כלומר בפירות וכיוצא בהן. והסוחט בגד תולדת צובע כדרך מלבן.']",,
"שו""ת אבני נזר או""ח סימן קנט, כז:","['תוכן הדברים דסבירא לי\' לרמב""ן מלאכת מלבן הסרת הלכלוך. ולכלוך שסופו להתבטל כאילו אינו ועל כן אינו חייב בסחיטה על הסרת הלכלוך רק על חזרת מראה ראשון וזה כעין צובע. ורמב""ם שכתב שסוחט בכלל מלבן. נראה דסבירא לי\' מלאכת מלבן הוא חזרת מראהו הראשון וחילוק שבין מלבן לצובע שצובע היא עשיית מראה חדשה. ומלבן חזרת מראהו הראשון.']",,
"זבחים צד ע""ב:","['אלא אמר רבא: כל כיבוס דלית ליה כיסכוס לא שמיה כיבוס. והא דאמר רב חייא בר אשי: זימנין סגיאין הוה קאימנא קמיה דרב ושכשיכי ליה מסאניה במיא, שכשוך אין, אבל כבוס לא! אי ברכין וכדברי הכל, אי בקשין וכאחרים. אי הכי, בגד נמי! בגד - שרייתו זהו כיבוסו. רבא לטעמיה, דאמר רבא: זרק סודר למים – חייב.']",Zevachim 94b,
"רמב""ם הלכות שבת כב, יח:","['מנעל או סנדל שנתלכלך בטיט ובצואה מותר לשכשכו במים אבל לכבסו אסור, ואין מגרדין לא מנעלים ולא סנדלים חדשים אבל סכין אותם ומקנחין את הישנים, כר או כסת שהיה עליהן צואה או טנוף מקנחו בסמרטוט, ואם היתה על של עור נותנין עליה מים עד שתכלה.']","Mishneh Torah, Sabbath 22:18",
"השגת הראב""ד שם:","['ואין מגרדין לא מנעלים ולא סנדלים. א""א גם בזה טעה, אבל סכין אותן ומקנחים את הרגלים, מי שנתלכלכה ידו בטיט).']",,
"שו""ת אבני נזר או""ח סימן קנט, ב:","[""ראיתי לעורר אותך על מה שיכשלו בו תמיד וזה הרבה מפתאים כשיפול על מלבוש וכיוצא בו טינוף ירחצו אותו באופן יעברו עליו המים או ינענעו אותו במים עד שיסור אותו טינוף ולא יסחטו אותו וכו' ולא ידמו שיש בזה איסור הואיל ולא יסחט אותו מלבוש.""]",,
"שבת עד ע""ב:","['הגוזז את הצמר והמלבנו. אמר רבה בר בר חנה אמר רבי יוחנן: הטווה צמר שעל גבי בהמה בשבת - חייב שלש חטאות; אחת משום גוזז, ואחת משום מנפץ, ואחת משום טווה. רב כהנא אמר: אין דרך גזיזה בכך, ואין דרך מנפץ בכך.']",Shabbat 74b,
"שו""ת אבני נזר או""ח סימן קע, ב, ז:","['ונראה לי משום דמלאכת הניפוץ הוא כדי שיהיה ראוי לטויה... דאם אין מנפצם כדי לטוות לא הוי מלאכה כלל...', 'ונראה לי דהנה הגיד תחילה חובטים אותו עד שנעשה כמו חוטים ואחר כך מנפצים ביד או במסרק להפריד החוטים זה מזה. ועל כן בחבטה כבר נגמרה מלאכת הטחינה... ואחר כך הפרדת החוטים הוה ליה תולדה דמנפץ.']",,
"פירוש המשניות לרמב""ם שבת ז, ב:",['מנפצו – החובטו בשבט.'],"Mishneh Torah, Sabbath 7:2",
"שו""ת אבני נזר או""ח סימנים קע–קעא:","['ובהכי ניחא לי מה דקשה לי בדברי הרא""ש פרק במה אשה דמותרת לחוף ולפספס שערה בשבת... ולהנ""ל דאין מלאכה כלל אלא על מנת לטוות ניחא... ולכאורה יש לומר כמו שכתב בתוספות רי""ד... במנפץ אין ניפוץ אלא בתחילת הפרדתם אבל שער אדם שסורק להפריד השערות וכששוב נתחברו חזר וסורק להפריד אין זה מנפץ וכיוון שסורק בכל עת אין מנפץ רק בסריקה ראשונה אך הא ליתא... הכא נמי בניפוץ שבמשכן הי\' בתלוש... על כן אין במחובר משום ניפוץ כלל.']",,
"משנה שבת י, ו:",['הנוטל צפרניו זו בזו או בשניו וכן שערו וכן שפמו וכן זקנו וכן הגודלת וכן הכוחלת וכן הפוקסת רבי אליעזר מחייב וחכמים אוסרין משום שבות התולש מעציץ נקוב חייב ושאינו נקוב פטור ורבי שמעון פוטר בזה ובזה.'],Mishnah Shabbat 10:6,
ירושלמי שם:,['הפוקסת חייבת משום צובעת.'],,
"שבת צה ע""א:","['כוחלת משום צובעת, גודלת ופוקסת - משום בונה.']",Shabbat 95a,
"מי טל, צובע, א, ח:","['ועפ""ז נראה לפרש פלוגתת הבבלי והירושלמי אם בפוקסת איכא משום חיובא דצובע והיינו דהבבלי שס""ל שפוקסת אינה חייבת משום צובע היינו טעמא... דצובע הוי רק בדבר המתקיים... משא""כ הירושלמי... הרי זה תלוי ביסוד החקירה במלאכת צובע אם חיובה משום התחדשות הגוון או משום מעשה שינוי הגוון הקודם והיינו דאם נאמר שמלאכת הצביעה יסודה עשיית דבר חדש דהיינו הגוון החדש שצבע הנה לפ""ז מובן דהיכא דהצבע החדש אינו עומד להתקיים אלא יתבטל ממילא אין כאן עשיית דבר חדש וליכא בזה משום צובע משא""כ אם נאמר דמלאכת צובע חיובה משום שינוי מציאות הקודמת דהיינו ביטול הגוון הקודם.']",,
"שבת עה ע""א–ע""ב:","['והשוחטו. שוחט משום מאי חייב? רב אמר: משום צובע, ושמואל אמר: משום נטילת נשמה. משום צובע אין, משום נטילת נשמה לא? אימא: אף משום צובע. אמר רב: מילתא דאמרי - אימא בה מילתא, דלא ליתו דרי בתראי וליחכו עלי. צובע במאי ניחא ליה - ניחא דליתווס בית השחיטה דמא, כי היכי דליחזוה אינשי וליתו ליזבנו מיניה.']",Shabbat 75,
"בית יוסף או""ח שכ, יט–כ:","['כתב בשבלי הלקט (סי\' פו) צריך [עיון] על הכרכום אם יש לחוש עליו משום צובע ולפי דברי בעל היראים דאמר אין דרך צביעה באוכלין מותר וזה לשון [בעל] היראים (סי\' רעד, קלו) ראוי לכל בר ישראל שאוכל תותים או שאר פירות הצובעים שיזהר שלא יגע בידיו צבועות בבגדיו או במפה דהוה ליה תולדת צובע ואם כן יצא דם מן המכה אסור לתת עליה בגד אבל אם צובע פתו במשקה הפירות לית לן בה דאין זה צביעה באוכלין עכ""ל.']","Beit Yosef, Orach Chayim 320:19",
"פרי מגדים אשל אברהם או""ח שכ, כה:",['גם אין צביעה באוכלין שאין מתקיים.'],"Peri Megadim on Orach Chayim, Eshel Avraham 320",
"אור זרוע סימן סג, ו:","[""וההיא דירושלמי דקאמר ההן דעבד חבלין חייב משום טוה לא משמע הכי שלהי המצניע בג' דידן דקאמר גודלת ופוקסת משום בונה ולא בעי למימר משום טוה.""]",,
"מי טל, טווה, א, יא–יג:","['והנראה לומר בזה דזה תלוי ביסוד החקירה במהות מלאכת טווה אם חיובה משום עשיית חוט חדש דהיינו החוט שנתחדש ע""י הך טווי\' הנה לפ""ז נראה שכל זה שייך רק בטווה חוט מנימי צמר... דבר חדש שמקודם היו כאן רק נימין... אכן אם נאמר בצד הב\'... משום מעשה... הנה לפ""ז גם בעשיית חבל מחוטין שייך לומר האי חיובא דהרי גם בזה איכא שינוי.']",,
"שבת עד ע""ב:","['הגוזז את הצמר והמלבנו. אמר רבה בר בר חנה אמר רבי יוחנן: הטווה צמר שעל גבי בהמה בשבת - חייב שלש חטאות; אחת משום גוזז, ואחת משום מנפץ, ואחת משום טווה. רב כהנא אמר: אין דרך גזיזה בכך, ואין דרך מנפץ בכך, ואין דרך טווי בכך. ולא? והתניא משמיה דרבי נחמיה: שטוף בעזים וטוו בעזים! אלמא: טוויה על גבי בהמה שמה טוויה! חכמה יתירה שאני.']",Shabbat 74b,
ספר העיתים רכט:,"['והנה מחזיא מילתא שאין זה מוציאו מכלל מלאכה אע""פ שאין זה דרך כל אדם.']",,
"פירוש המשניות לרמב""ם שבת ז, ב:",['והמיסך – המותח את המסכה כלומר השתי.'],"Mishneh Torah, Sabbath 7:2",
